"As notas do Kindle para:",,,
"ARQUITETURA LIMPA: O GUIA DO ARTESÃO PARA ESTRUTURA E DESIGN DE SOFTWARE (ROBERT C. MARTIN)",,,
"de Robert C. Martin",,,
"Visualização instantânea gratuita do Kindle:",,,
"https://a.co/gplWlvD",,,
----------------------------------------------,,,
,,,
"Tipo de anotação","Posição","Com estrelas?","Anotação"
"Destaque (Amarelo)","Posição 305","","O apelo óbvio da arquitetura é a estrutura, que domina os paradigmas e discussões sobre o desenvolvimento de software — componentes, classes, funções, módulos, camadas e serviços, micro ou macro."
"Destaque (Amarelo)","Posição 328","","A velocidade do processador e a largura de banda da rede podem fornecer um veredito duro sobre a performance de um sistema."
"Destaque (Amarelo)","Posição 329","","A memória e o armazenamento podem limitar as ambições de qualquer base de código."
"Destaque (Amarelo)","Posição 340","","uma arquitetura não deve apenas atender às demandas dos usuários, desenvolvedores e proprietários em um determinado momento, mas também corresponder a essas expectativas ao longo do tempo."
"Destaque (Amarelo)","Posição 349","","A arquitetura é o conjunto de decisões que você queria ter tomado logo no início de um projeto, mas, como todo mundo, não teve a imaginação necessária. — Ralph Johnson"
"Destaque (Amarelo)","Posição 386","","As regras da arquitetura são sempre as mesmas! Isso é surpreendente porque os sistemas que criei eram radicalmente diferentes entre si."
"Destaque (Amarelo)","Posição 388","","as regras da arquitetura de software são independentes de todas as outras variáveis."
"Destaque (Amarelo)","Posição 425","","As regras não mudaram. Apesar das novas linguagens, frameworks e paradigmas, as regras continuam as mesmas de quando Alan Turing escreveu seu primeiro código de máquina em 1946."
"Destaque (Amarelo)","Posição 472","","fazer algo funcionar — uma vez — não é tão difícil. Fazer direito é outra questão."
"Destaque (Amarelo)","Posição 474","","Criar software de maneira correta é difícil. Requer conhecimentos e habilidades que a maioria dos jovens programadores ainda não adquiriu."
"Destaque (Amarelo)","Posição 475","","Requer um grau de raciocínio e insight que a maioria dos programadores não se empenha em desenvolver."
"Destaque (Amarelo)","Posição 475","","Requer um nível de disciplina e dedicação que a maioria dos programadores nunca sonhou que precisaria."
"Destaque (Amarelo)","Posição 487","","Já trabalhou em sistemas tão interconectados e intrincadamente acoplados que qualquer mudança, por mais trivial que seja, levava semanas e envolvia grandes riscos?"
"Destaque (Amarelo)","Posição 488","","Já experimentou a impedância de um código ruim e um péssimo design?"
"Destaque (Amarelo)","Posição 497","","Tem havido muita confusão entre os termos design e arquitetura ao longo dos anos."
"Destaque (Amarelo)","Posição 498","","O que é design? O que é arquitetura?"
"Destaque (Amarelo)","Posição 500","","não há diferença entre os dois termos."
"Destaque (Amarelo)","Posição 516","","O objetivo da arquitetura de software é minimizar os recursos humanos necessários para construir e manter um determinado sistema."
