"As notas do Kindle para:",,,
"ORIENTAÇÃO A OBJETOS EM C#: CONCEITOS E IMPLEMENTAÇÕES EM .NET",,,
"de Everton Coimbra de Araújo",,,
"Visualização instantânea gratuita do Kindle:",,,
"https://a.co/7w7Hrb3",,,
----------------------------------------------,,,
,,,
"Tipo de anotação","Posição","Com estrelas?","Anotação"
"Destaque (Amarelo)","Posição 80","","Programação orientada a objetos (POO) é um paradigma que viabiliza o desenvolvimento de aplicações fazendo uso do modelo orientado a objetos."
"Destaque (Amarelo)","Posição 81","","modelo orientado a objetos o conjunto de ""coisas"" que fazem parte"
"Destaque (Amarelo)","Posição 81","","do contexto atual em estudo,"
"Destaque (Amarelo)","Posição 82","","normalmente os objetos encontrados na análise se agrupam em classes."
"Destaque (Amarelo)","Posição 82","","Estas classes, em conjunto com as associações entre elas, definem a estrutura do sistema em estudo. Uma das principais características da POO é a capacidade de reutilização, ou seja, de otimização da produtividade, aumento de qualidade, diminuição de tempo e custos de manutenção."
"Destaque (Amarelo)","Posição 86","","Outro fator considerado como vantagem é a manutenibilidade,"
"Destaque (Amarelo)","Posição 87","","facilidade na manutenção dos projetos."
"Destaque (Amarelo)","Posição 87","","Este fator depende de como o sistema foi estruturado e das técnicas de programação que foram usadas ao longo do desenvolvimento."
"Destaque (Amarelo)","Posição 108","","A abstração é muito importante no processo de modelagem e implementação de soluções orientadas a objeto."
"Destaque (Amarelo)","Posição 109","","Ela é considerada como a habilidade de modelar características do mundo real, de um denominado problema em questão que o programador esteja tentando resolver."
"Destaque (Amarelo)","Posição 114","","Objeto é qualquer estrutura modular que faz parte de algo."
"Destaque (Amarelo)","Posição 116","","Uma janela, por exemplo, é um objeto de uma casa, de um carro ou de um software com interface gráfica para o usuário."
"Destaque (Amarelo)","Posição 117","","Cada objeto possui propriedades, comportamentos e métodos que o identificam e o diferenciam dentre outros objetos semelhantes. Propriedades consistem de características atribuídas aos objetos."
"Destaque (Amarelo)","Posição 121","","Comportamento e eventos referem-se às ações (operações) aplicadas por um objeto ou suas reações (eventos)."
"Destaque (Amarelo)","Posição 124","","Os comportamentos e eventos mapeados para uma linguagem são conhecidos como a implementação dos métodos."
"Destaque (Amarelo)","Posição 134","","Classe é um conjunto ou uma categoria de objetos que tem propriedades e métodos."
"Destaque (Amarelo)","Posição 138","","Na OO, chamamos esta categorização de generalização e especialização respectivamente, e ambas as denominações estão relacionadas à herança."
"Destaque (Amarelo)","Posição 140","","herança é um termo que se refere a uma classe nova, que pode ser criada a partir de outra já existente."
"Destaque (Amarelo)","Posição 141","","ela pode ""herdar"" atributos e comportamentos da classe a ser estendida."
"Destaque (Amarelo)","Posição 143","","(a herança pode ser de características e de comportamentos)."
"Destaque (Amarelo)","Posição 145","","A classe na qual é gerada a nova classe é chamada de classe"
"Destaque (Amarelo)","Posição 145","","básica (ancestral, superclasse ou classe genérica) e a nova é chamada de classe derivada (descendente, subclasse, ou ainda, classe especializada)."
"Destaque (Amarelo)","Posição 147","","a classe derivada herdará os atributos e comportamentos da básica."
"Destaque (Amarelo)","Posição 156","","polimorfismo."
"Destaque (Amarelo)","Posição 160","","Polimorfismo, que significa “várias formas”, é um termo designado a objetos de classes distintas, que podem reagir de uma maneira diferente ao fazerem o uso de um mesmo"
"Destaque (Amarelo)","Posição 161","","método."
"Destaque (Amarelo)","Posição 166","","Encapsulamento é um mecanismo que trata de dar segurança aos objetos, mantendo-os controlados em relação"
"Destaque (Amarelo)","Posição 167","","ao seu nível de acesso."
"Destaque (Amarelo)","Posição 167","","o encapsulamento contribui fundamentalmente para diminuir os malefícios causados pela interferência externa sobre os dados, pois isola partes do código."
"Destaque (Amarelo)","Posição 184","","Tudo isso são classes associadas. Interface é um tipo de classe que contém apenas assinaturas de métodos."
